Date, Open, High, Low, Close, Volume
12/23/22, 5491.00, 5491.00, 4865.00, 4865.00, 40
12/22/22, 5250.10, 5250.10, 5250.10, 5250.10, 20
12/21/22, 4900.10, 5355.00, 4900.10, 5350.00, 100
12/20/22, 5220.00, 5400.00, 5220.00, 5250.00, 300
12/19/22, 5600.00, 5600.00, 5325.55, 5340.28, 80
12/15/22, 5201.01, 5481.00, 5201.01, 5481.00, 140
12/14/22, 5230.10, 5500.01, 5230.10, 5500.01, 40
12/12/22, 5400.29, 5650.00, 5400.29, 5650.00, 60
12/09/22, 5700.00, 5781.00, 5700.00, 5781.00, 100
12/08/22, 5383.00, 5849.00, 5383.00, 5781.00, 280
12/06/22, 5781.00, 5781.00, 5781.00, 5781.00, 100
12/02/22, 5750.00, 5949.00, 5725.00, 5781.00, 180
12/01/22, 5760.00, 5810.00, 5760.00, 5760.00, 60
11/30/22, 5800.01, 5980.00, 5720.00, 5810.00, 220
11/29/22, 6260.00, 6270.00, 5900.00, 5900.00, 80
11/28/22, 5850.00, 5850.00, 5850.00, 5850.00, 40
11/25/22, 5850.00, 5851.00, 5700.00, 5766.00, 380
11/24/22, 5950.00, 5950.00, 5750.00, 5842.00, 200
11/22/22, 5800.00, 5800.00, 5800.00, 5800.00, 20
11/21/22, 5799.00, 5800.00, 5799.00, 5800.00, 80
11/17/22, 5760.00, 5760.00, 5755.00, 5755.00, 60
11/16/22, 5900.00, 5900.00, 5900.00, 5900.00, 20
11/15/22, 5900.00, 5900.00, 5900.00, 5900.00, 20
11/11/22, 5700.00, 5900.00, 5700.00, 5900.00, 60
11/07/22, 5651.00, 5651.00, 5651.00, 5651.00, 20
11/03/22, 5650.01, 5650.01, 5650.00, 5650.00, 80
11/02/22, 5790.00, 5790.00, 5770.00, 5770.00, 40
11/01/22, 5800.00, 5800.00, 5800.00, 5800.00, 20
10/31/22, 5899.99, 5899.99, 5700.00, 5700.00, 60
10/28/22, 5980.00, 5980.00, 5980.00, 5980.00, 20
10/27/22, 5990.00, 5990.00, 5980.00, 5980.00, 40
10/25/22, 6150.00, 6200.00, 6010.00, 6010.00, 1280
10/24/22, 5999.99, 6010.00, 5999.99, 6007.50, 440
10/21/22, 6000.00, 6000.00, 6000.00, 6000.00, 20
10/20/22, 6200.00, 6200.00, 6000.00, 6000.00, 160
10/19/22, 6000.00, 6050.00, 5920.00, 6000.00, 600
10/18/22, 5850.00, 5850.00, 5850.00, 5850.00, 20
10/17/22, 6000.00, 6000.00, 6000.00, 6000.00, 40
10/14/22, 6000.00, 6000.00, 6000.00, 6000.00, 40
10/12/22, 6000.00, 6000.00, 5980.00, 5980.00, 40
10/11/22, 5800.00, 5800.00, 5780.00, 5780.00, 40
10/10/22, 5869.00, 5869.00, 5775.00, 5850.00, 960
10/06/22, 5581.00, 5750.00, 5500.00, 5750.00, 160
10/04/22, 5700.00, 5700.00, 5700.00, 5700.00, 40
09/27/22, 5700.00, 5700.00, 5700.00, 5700.00, 20
09/26/22, 5700.00, 5700.00, 5600.00, 5600.00, 240
09/23/22, 5705.00, 5705.00, 5705.00, 5705.00, 60
09/22/22, 5650.00, 5650.00, 5650.00, 5650.00, 20
09/20/22, 5650.00, 5650.00, 5650.00, 5650.00, 20
09/15/22, 5700.00, 5750.00, 5660.00, 5660.00, 140
09/14/22, 5700.00, 5700.00, 5700.00, 5700.00, 100
09/13/22, 5760.00, 5760.00, 5760.00, 5760.00, 20
09/09/22, 5760.00, 5760.00, 5760.00, 5760.00, 40
09/08/22, 5760.00, 5760.00, 5760.00, 5760.00, 20
09/07/22, 5760.00, 5760.00, 5760.00, 5760.00, 20
09/02/22, 5638.13, 5764.99, 5620.00, 5764.99, 160
09/01/22, 5780.00, 5800.00, 5711.00, 5729.00, 200
08/31/22, 5736.01, 5802.03, 5736.01, 5799.99, 160
08/30/22, 5790.02, 5799.99, 5790.02, 5799.99, 40
08/29/22, 5800.00, 5957.56, 5770.05, 5790.02, 480
08/26/22, 6481.00, 6481.00, 6081.00, 6100.00, 100
08/24/22, 6025.00, 6070.00, 6025.00, 6070.00, 40
08/23/22, 6100.00, 6199.00, 6100.00, 6197.00, 480
08/22/22, 6100.00, 6100.00, 5955.00, 5955.00, 360
08/19/22, 6140.00, 6140.00, 6000.00, 6000.00, 240
08/17/22, 6000.00, 6000.00, 6000.00, 6000.00, 40
08/15/22, 6050.00, 6150.01, 6050.00, 6150.00, 540
08/12/22, 6240.00, 6240.00, 5900.00, 5900.00, 80
08/11/22, 6199.00, 6199.00, 6100.00, 6100.00, 80
08/10/22, 6050.02, 6248.99, 6050.02, 6055.00, 80
08/05/22, 6100.00, 6185.00, 5994.90, 6185.00, 100
08/04/22, 6199.99, 6200.00, 5966.01, 6149.90, 140
08/03/22, 5994.50, 6170.00, 5994.50, 6170.00, 100
08/02/22, 6000.00, 6185.00, 5900.00, 5994.50, 480
08/01/22, 6300.00, 6300.00, 6200.00, 6290.00, 60
07/27/22, 6000.00, 6000.00, 5850.00, 5890.00, 100
07/26/22, 5990.00, 6000.00, 5990.00, 5998.13, 160
07/21/22, 5900.00, 5902.00, 5900.00, 5902.00, 60
07/19/22, 5850.00, 5980.00, 5850.00, 5980.00, 300
07/15/22, 5800.01, 5950.00, 5800.01, 5942.50, 120
07/14/22, 5900.00, 6000.00, 5900.00, 6000.00, 360
07/07/22, 5850.00, 5850.00, 5850.00, 5850.00, 20
07/05/22, 5660.00, 5660.00, 5660.00, 5660.00, 20
07/04/22, 5800.00, 5800.10, 5800.00, 5800.00, 160
06/29/22, 5800.00, 5800.00, 5800.00, 5800.00, 20
06/28/22, 5990.00, 5990.00, 5990.00, 5990.00, 20
06/24/22, 5700.00, 5700.00, 5700.00, 5700.00, 20
06/22/22, 5880.00, 5950.00, 5850.15, 5900.08, 140
06/16/22, 5800.00, 5900.00, 5800.00, 5880.00, 300
06/10/22, 5775.10, 5775.10, 5775.10, 5775.10, 20
06/09/22, 5800.00, 5825.00, 5775.10, 5775.10, 140
06/08/22, 5700.00, 5800.00, 5700.00, 5800.00, 1120
06/07/22, 5650.02, 5650.02, 5650.02, 5650.02, 20
06/03/22, 5620.01, 5660.00, 5620.01, 5660.00, 60
06/02/22, 5675.00, 5675.00, 5675.00, 5675.00, 20
06/01/22, 5780.00, 5780.00, 5780.00, 5780.00, 20
05/31/22, 5700.00, 5790.00, 5700.00, 5710.00, 60
05/30/22, 5770.00, 5795.00, 5770.00, 5773.41, 1040
05/27/22, 5620.02, 5795.00, 5620.02, 5775.00, 220
05/26/22, 5710.00, 5779.00, 5710.00, 5775.00, 260
05/25/22, 5700.01, 5779.90, 5700.01, 5779.90, 520
05/24/22, 5640.00, 5780.00, 5640.00, 5780.00, 360
05/23/22, 5631.00, 5780.00, 5631.00, 5779.99, 340
05/20/22, 5780.00, 5780.00, 5780.00, 5780.00, 20
05/19/22, 5725.00, 5830.00, 5702.00, 5799.99, 900
05/18/22, 5800.00, 5800.00, 5790.00, 5790.00, 40
05/17/22, 5850.00, 5850.00, 5700.00, 5701.00, 140
05/16/22, 5700.00, 5795.00, 5600.01, 5699.44, 720
05/13/22, 5789.00, 5789.00, 5789.00, 5789.00, 20
05/12/22, 5690.00, 5695.00, 5600.00, 5615.84, 160
05/11/22, 5800.00, 5800.00, 5650.00, 5750.00, 680
05/10/22, 5800.00, 5810.00, 5800.00, 5800.01, 700
05/09/22, 5800.00, 5800.01, 5700.00, 5706.25, 1540
05/06/22, 5800.00, 5801.00, 5800.00, 5800.00, 220
04/28/22, 5700.00, 5900.00, 5700.00, 5875.00, 260
04/27/22, 5999.99, 6000.00, 5800.01, 5800.01, 840
04/26/22, 5799.99, 5849.99, 5790.00, 5849.99, 120
04/25/22, 5700.00, 5750.00, 5700.00, 5700.00, 560
04/22/22, 5699.99, 5750.00, 5501.00, 5618.13, 320
04/21/22, 5599.99, 5600.00, 5501.00, 5501.00, 60
04/20/22, 5600.00, 5600.00, 5600.00, 5600.00, 1020
04/19/22, 5600.00, 5600.00, 5570.00, 5582.80, 120
04/15/22, 5579.99, 5579.99, 5579.99, 5579.99, 20
04/14/22, 5400.16, 5549.99, 5400.16, 5549.99, 180
04/13/22, 5438.11, 5450.00, 5438.11, 5445.00, 140
04/12/22, 5550.00, 5560.00, 5550.00, 5555.00, 120
04/11/22, 5550.00, 5599.00, 5400.00, 5490.94, 300
04/08/22, 5500.00, 5500.00, 5500.00, 5500.00, 200
04/06/22, 5600.00, 5600.00, 5456.01, 5500.00, 220
04/01/22, 5892.02, 5892.03, 5892.02, 5892.03, 40
03/31/22, 5698.00, 5880.00, 5698.00, 5821.73, 440
03/30/22, 5500.00, 5500.00, 5410.00, 5500.00, 80
03/24/22, 5500.00, 5500.00, 5500.00, 5500.00, 20
03/22/22, 5411.01, 5600.00, 5411.00, 5515.60, 320
03/21/22, 5500.00, 5640.00, 5500.00, 5640.00, 60
03/18/22, 5640.00, 5640.00, 5640.00, 5640.00, 40
03/17/22, 5600.00, 5600.00, 5600.00, 5600.00, 20
03/16/22, 5490.00, 5500.00, 5402.00, 5468.75, 620
